City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
431,Muscle Shoals,US,79.11,broken clouds,34.7448,-87.6675,Microtel Inn & Suites by Wyndham Tuscumbia/Muscle Shoals
439,Trairi,BR,79.09,clear sky,-3.2778,-39.2689,janelas do mar
459,Anloga,GH,77.56,broken clouds,5.7947,0.8973,Pin Drop Hotel
463,Pochutla,MX,79.65,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
464,Gamba,GA,75.97,overcast clouds,-2.65,10.0,
465,Oussouye,SN,75.02,heavy intensity rain,12.485,-16.5469,Auberge du Routard
468,Simbahan,PH,76.66,moderate rain,6.3032,120.5836,
479,Salinopolis,BR,78.35,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
483,Santa Isabel Do Rio Negro,BR,77.77,scattered clouds,-0.4139,-65.0192,Hotel GSA
486,Batticaloa,LK,80.47,overcast clouds,7.7102,81.6924,Grand Star Guest House
487,Oshkosh,US,79.12,clear sky,44.0247,-88.5426,Best Western Premier Waterfront Hotel & Convention Center
493,Kadoma,JP,75.18,overcast clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
496,Umm Lajj,SA,81.23,clear sky,25.0213,37.2685,Moon light Furnished Units
513,Carauari,BR,78.24,scattered clouds,-4.8828,-66.8958,Hotel Fellip
514,Marzuq,YE,78.96,broken clouds,14.4,46.4667,
517,Hambantota,LK,79.36,overcast clouds,6.1241,81.1185,Bungalow 63
518,Mouila,GA,75.85,light rain,-1.8685,11.0559,Hôtel du Lac Bleu
519,Santa Rosa,PH,78.85,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
520,New Panay,PH,75.61,overcast clouds,6.7586,124.5892,Ara Rosa Swiming Pool
524,Guayaramerin,BO,78.85,broken clouds,-10.8368,-65.3614,Hostal Funf
527,Half Moon Bay,US,79.79,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
529,Hounde,BF,76.26,scattered clouds,11.5,-3.5167,Carrefour où ouvriers dorment
531,Cagliari,IT,78.91,clear sky,39.245,9.0912,Holiday Inn Cagliari
535,Liberty,US,77.11,heavy intensity rain,31.8335,-81.5004,Sasser’s Mobile Home Park
541,Port Blair,IN,78.69,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
544,Filadelfia,US,76.05,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
545,Alyangula,AU,79.3,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
546,Kupang,ID,79.38,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
551,Santa Ines,BR,75.78,scattered clouds,-3.6667,-45.38,Palace hotel
552,Surt,LY,77.0,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
553,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
555,Green River,US,77.4,broken clouds,41.5286,-109.4662,Hampton Inn & Suites Green River
559,Shingu,JP,76.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
562,Gudari,IN,75.2,overcast clouds,19.35,83.7833,Hotel maa majhigouri
564,Tamiahua,MX,82.71,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
566,Omboue,GA,76.73,overcast clouds,-1.5746,9.2618,Hotel Olako
574,Matara,LK,77.95,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
580,Eyl,SO,77.79,scattered clouds,7.9803,49.8164,Amiin Hotel
583,Hagi,JP,76.55,overcast clouds,34.4,131.4167,HAGIHONJIN
584,Monte Alegre,BR,79.05,scattered clouds,-2.0078,-54.0692,Hotel Shekinah
585,Yenagoa,NG,75.74,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
586,Banda Aceh,ID,77.14,broken clouds,5.5577,95.3222,Sulthan Hotel International
587,Alta Floresta,BR,79.34,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
590,Tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
591,Primero De Enero,CU,81.37,moderate rain,21.9469,-78.4283,Motel Dos Palmas (Maria Machete)
595,Tabou,CI,77.25,light rain,4.423,-7.3528,hotêl doufoulougou
596,Naifaru,MV,82.47,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
599,Kaseda,JP,79.14,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
600,Dourados,BR,76.57,light rain,-22.2211,-54.8056,Bravo City Hotel
609,Nakhon Si Thammarat,TH,76.96,overcast clouds,8.25,100.0,ร้านไอซ์โมสีshop
614,Villa Guerrero,MX,76.62,overcast clouds,18.8667,-99.65,"Ixtapan de la Sal Marriott Hotel, Spa & Convention Center"
615,Miramar,US,83.01,broken clouds,25.9873,-80.2323,Miramar
616,Eureka,US,79.66,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
618,Nagato,JP,76.89,overcast clouds,34.3833,131.2,いそう庵
619,Penal,TT,81.14,clear sky,10.1667,-61.4667,Lowkie Trace
620,Baherden,TM,83.79,clear sky,38.4362,57.4316,
621,Semporna,MY,78.64,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
623,Sorong,ID,77.88,overcast clouds,-0.8833,131.25,waigo splash hotel
625,High Rock,BS,82.42,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
627,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
632,Craig,US,83.39,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
634,Leo,BF,75.49,scattered clouds,11.1,-2.1,Hotel Sissilis
640,Jinxiang,CN,76.64,few clouds,27.4327,120.6062,Wolong Village
643,Brigham City,US,84.81,clear sky,41.5102,-112.0155,Best Western Brigham City Inn & Suites
644,Sao Jose Da Coroa Grande,BR,75.88,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
645,Unai,BR,82.89,clear sky,-16.3575,-46.9061,Hotel Regente
649,Port Augusta,AU,75.7,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
650,Pachino,IT,77.59,few clouds,36.7186,15.0907,Pietra Bianca B&B
655,Katobu,ID,75.54,overcast clouds,-4.9408,122.5276,La Ode Husein
658,Manaus,BR,82.89,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
659,Manicore,BR,81.54,broken clouds,-5.8092,-61.3003,Hotel Durval
661,Sibolga,ID,75.92,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
663,Avera,US,76.87,overcast clouds,33.194,-82.5271,
666,Inyonga,TZ,78.1,broken clouds,-6.7167,32.0667,Eden Rock Lodge
672,Vung Tau,VN,79.99,light rain,10.345999999999998,107.0843,Green hotel
680,Merrill,US,78.57,clear sky,45.1805,-89.6835,Prairie Motel
682,Sakaiminato,JP,75.15,overcast clouds,35.55,133.2333,味処・民宿 まつや
684,Samarai,PG,77.49,overcast clouds,-10.6167,150.6667,Nuli Sapi
685,Gerash,IR,79.92,clear sky,27.6652,54.1371,Sa'adat House
687,Nalut,LY,78.37,clear sky,30.3333,10.85,
688,El Vigia,VE,82.2,scattered clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
691,Praia,CV,81.14,broken clouds,14.9215,-23.5087,LT Aparthotel
700,Kulhudhuffushi,MV,82.06,broken clouds,6.6221,73.07,Hondaafushi Island Resort
705,Aswan,EG,80.29,clear sky,24.0934,32.907,Nuba Nile
706,Nova Olinda Do Norte,BR,80.33,broken clouds,-3.8881,-59.0942,Jardim Paiva Hotel
708,Ternate,ID,78.24,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
710,Kattivakkam,IN,84.29,overcast clouds,13.2167,80.3167,Euronova Freezer
714,Kuala Terengganu,MY,76.8,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
