City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Alofi,NU,-19.0595,-169.9187,82.29,74,75,14.97,broken clouds
333,Preston,GB,53.7667,-2.7167,59.67,3,99,2.77,overcast clouds
334,Tuatapere,NZ,-46.1333,167.6833,44.82,63,15,7.02,few clouds
335,Zhezkazgan,KZ,47.8043,67.7144,65.19,32,44,9.57,scattered clouds
336,Logrono,ES,42.4667,-2.45,64.4,94,40,0.0,scattered clouds
337,Iqaluit,CA,63.7506,-68.5145,33.96,83,90,4.41,overcast clouds
338,Atar,MR,20.5169,-13.0499,98.94,20,100,7.14,overcast clouds
339,Kahului,US,20.8947,-156.47,91.42,52,40,25.32,scattered clouds
340,Kruisfontein,ZA,-34.0033,24.7314,49.89,80,6,11.05,clear sky
341,Samana,DO,19.2056,-69.3369,73.36,90,100,5.37,overcast clouds
342,Honningsvag,NO,70.9821,25.9704,45.05,68,100,17.34,overcast clouds
343,Beyneu,KZ,45.3167,55.2,71.64,28,72,16.06,broken clouds
344,Sanary-Sur-Mer,FR,43.1178,5.8001,70.61,88,9,3.0,clear sky
345,Bago,MM,17.3367,96.4797,75.09,97,100,7.78,light rain
346,Thinadhoo,MV,0.5333,72.9333,83.68,72,99,9.53,overcast clouds
