City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Mao,ES,2021-09-13 17:07:51,39.8885,4.2658,77.56,73,0,10.36
148,Raudeberg,NO,2021-09-13 17:07:51,61.9875,5.1352,55.0,85,100,7.72
149,Alta Floresta,BR,2021-09-13 17:07:52,-9.8756,-56.0861,95.67,33,41,5.61
150,Chambersburg,US,2021-09-13 17:07:52,39.9376,-77.6611,84.81,70,50,1.99
151,Dingle,PH,2021-09-13 17:07:52,10.9995,122.6711,76.39,91,77,4.63
152,Isangel,VU,2021-09-13 17:07:53,-19.55,169.2667,71.62,81,35,7.43
153,Kalabo,ZM,2021-09-13 17:07:53,-14.97,22.6814,79.39,18,10,3.2
154,Beringovskiy,RU,2021-09-13 17:07:53,63.05,179.3167,31.32,81,94,12.75
155,Gobabis,NA,2021-09-13 17:07:54,-22.45,18.9667,73.99,15,14,5.86
156,Mahebourg,MU,2021-09-13 17:07:54,-20.4081,57.7,71.89,68,75,18.41
157,Grand Forks,US,2021-09-13 17:07:55,47.9417,-97.4337,67.78,51,90,13.8
158,Mount Gambier,AU,2021-09-13 17:07:55,-37.8333,140.7667,46.96,77,97,2.46
159,Tursunzoda,TJ,2021-09-13 17:07:56,38.5144,68.2333,72.48,20,0,3.0
160,Rioja,AR,2021-09-13 17:07:57,-29.4111,-66.8507,82.71,14,0,5.3
161,Chapais,CA,2021-09-13 17:07:57,49.7834,-74.8492,46.24,80,100,9.86
162,Bayan,CN,2021-09-13 17:07:57,46.0833,127.4,54.37,95,100,1.95
163,Zhigalovo,RU,2021-09-13 17:07:58,54.8097,105.1578,45.77,94,94,2.64
164,Krasnoselkup,RU,2021-09-13 17:07:59,65.7,82.4667,40.96,95,100,9.66
165,Bambous Virieux,MU,2021-09-13 17:07:59,-20.3428,57.7575,71.85,68,75,18.41
166,Kaeo,NZ,2021-09-13 17:07:59,-35.1,173.7833,60.33,89,57,8.21
167,Teixoso,PT,2021-09-13 17:08:00,40.3145,-7.4576,68.2,93,100,2.86
168,Nabire,ID,2021-09-13 17:08:01,-3.3667,135.4833,75.96,94,99,4.79
169,Esperance,AU,2021-09-13 17:08:01,-33.8667,121.9,50.23,82,13,11.65
170,Yunyang,CN,2021-09-13 17:08:02,33.4474,112.7142,69.93,76,0,5.01
171,Cabedelo,BR,2021-09-13 17:08:02,-6.9811,-34.8339,83.07,69,48,14.61
172,Torrevieja,ES,2021-09-13 17:08:03,37.9787,-0.6822,84.34,79,100,1.99
173,Paragould,US,2021-09-13 17:08:03,36.0584,-90.4973,88.09,63,69,10.94
174,Hervey Bay,AU,2021-09-13 17:08:04,-25.2986,152.8535,68.04,86,7,11.12
175,Mildmay,CA,2021-09-13 17:08:05,44.0501,-81.1164,67.55,68,76,1.99
176,Marawi,PH,2021-09-13 17:08:05,7.9986,124.2928,65.64,93,99,3.51
177,Lavrentiya,RU,2021-09-13 17:08:06,65.5833,-171.0,40.86,92,100,14.25
178,High Level,CA,2021-09-13 17:08:06,58.5169,-117.136,57.36,49,44,9.08
179,Boden,SE,2021-09-13 17:08:07,65.8252,21.6886,50.0,48,25,13.06
180,Oranjemund,NA,2021-09-13 17:08:07,-28.55,16.4333,55.33,74,4,16.6
181,Torrelavega,ES,2021-09-13 17:08:08,43.3494,-4.0479,73.8,73,100,3.76
182,Talnakh,RU,2021-09-13 17:08:09,69.4865,88.3972,47.35,77,100,19.71
183,Kavieng,PG,2021-09-13 17:08:09,-2.5744,150.7967,81.64,80,99,15.03
184,Tiksi,RU,2021-09-13 17:08:10,71.6872,128.8694,42.66,87,99,3.85
185,Bengkulu,ID,2021-09-13 17:08:10,-3.8004,102.2655,74.37,91,100,5.61
186,Camacha,PT,2021-09-13 17:08:11,33.0833,-16.3333,72.82,69,40,13.8
187,Cidreira,BR,2021-09-13 17:08:11,-30.1811,-50.2056,66.78,96,100,5.26
188,Labytnangi,RU,2021-09-13 17:08:11,66.6572,66.4183,40.32,80,97,8.79
189,Vila Velha,BR,2021-09-13 17:05:50,-20.3297,-40.2925,84.15,61,0,17.27
190,Payakumbuh,ID,2021-09-13 17:08:12,-0.2202,100.6308,68.61,93,100,3.31
191,Georgetown,MY,2021-09-13 17:08:12,5.4112,100.3354,78.89,89,20,0.0
192,Nuuk,GL,2021-09-13 17:08:13,64.1835,-51.7216,39.81,65,40,8.05
193,Campeche,MX,2021-09-13 17:06:03,19.0,-90.5,92.39,43,100,4.83
194,Matay,EG,2021-09-13 17:08:14,28.419,30.7792,95.07,22,0,15.5
195,Balkhash,KZ,2021-09-13 17:08:14,46.844,74.9804,59.38,26,2,7.63
196,Sandpoint,US,2021-09-13 17:08:14,48.2766,-116.5533,62.62,81,90,0.0
197,Miraflores,MX,2021-09-13 17:08:15,19.2167,-98.8083,66.85,92,98,3.13
198,Banda Aceh,ID,2021-09-13 17:08:15,5.5577,95.3222,80.19,74,100,9.82
199,Hasaki,JP,2021-09-13 17:08:15,35.7333,140.8333,70.2,68,100,6.8
200,Rio Gallegos,AR,2021-09-13 17:05:33,-51.6226,-69.2181,55.45,33,40,36.82
201,Beyneu,KZ,2021-09-13 17:08:16,45.3167,55.2,76.75,29,14,11.12
202,Grindavik,IS,2021-09-13 17:08:16,63.8424,-22.4338,50.47,66,75,32.21
203,Ippy,CF,2021-09-13 17:08:16,6.2679,21.2247,70.97,94,100,3.06
204,Bemidji,US,2021-09-13 17:05:28,47.4736,-94.8803,68.29,57,40,11.5
205,Provideniya,RU,2021-09-13 17:08:17,64.3833,-173.3,41.49,88,100,8.7
206,Kautokeino,NO,2021-09-13 17:08:17,69.0125,23.0412,35.2,99,100,17.87
207,Tilichiki,RU,2021-09-13 17:08:17,60.4667,166.1,31.46,77,3,3.94
208,Inhambane,MZ,2021-09-13 17:08:18,-23.865,35.3833,71.58,83,20,6.91
209,Point Pleasant,US,2021-09-13 17:06:26,40.0832,-74.0682,88.18,60,1,1.99
210,Klaksvik,FO,2021-09-13 17:08:18,62.2266,-6.589,52.72,87,100,21.23
211,Tasiilaq,GL,2021-09-13 17:08:19,65.6145,-37.6368,44.76,68,100,28.1
212,Korla,CN,2021-09-13 17:08:19,41.7597,86.1469,71.02,39,0,10.56
213,Porto Novo,BJ,2021-09-13 17:05:30,6.4965,2.6036,76.28,83,100,3.13
214,Tarauaca,BR,2021-09-13 17:08:19,-8.1614,-70.7656,94.77,38,6,4.5
215,Diban,SY,2021-09-13 17:08:20,35.0365,40.5167,87.3,22,0,6.15
216,Port Alfred,ZA,2021-09-13 17:08:20,-33.5906,26.891,64.47,84,100,15.66
217,Risod,IN,2021-09-13 17:08:20,19.9667,76.7833,74.3,90,100,9.46
218,Petropavlovsk-Kamchatskiy,RU,2021-09-13 17:08:21,53.0452,158.6483,45.41,87,100,17.02
219,Batemans Bay,AU,2021-09-13 17:08:21,-35.7167,150.1833,48.9,88,35,7.47
220,Antofagasta,CL,2021-09-13 17:08:22,-23.65,-70.4,66.22,61,100,12.03
221,Shirokiy,RU,2021-09-13 17:08:22,49.758,129.523,48.65,78,100,3.96
222,Faya,SA,2021-09-13 17:08:22,18.3851,42.4509,70.32,57,64,4.59
223,Airai,TL,2021-09-13 17:08:23,-8.9266,125.4092,58.62,86,20,2.19
224,Nome,US,2021-09-13 17:08:24,64.5011,-165.4064,50.07,72,75,14.97
225,Tateyama,JP,2021-09-13 17:08:24,34.9833,139.8667,75.22,71,99,7.94
